OTU	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14	Control15	Control16	Control17	Control18	Control19	Control20	Control21	Control22	Control23	Control24	Control25	Control26	Control27	Control28	Control29	Control30	Control31	Control32	Control33	Control34	Control35	Control36	Control37	Control38	Control39	Control40	Control41	Control42	Control43	Control44	Control45	Control46	Control47	Control48	Control49	Control50	Control51	Control52	Control53	Control54	Control55	Control56	Control57	Control58	Control59	Control60	Control61	Control62	Control63	Control64	Control65	Control66	Control67	Control68	Control69	Control70	Control71	Control72	Control73	Control74	Control75	Control76	Control77	Control78	Control79	Control80	Control81	Control82	Control83	Control84	Control85	Control86	Control87	Control88	Control89	Control90	Control91	Control92	Control93	Control94	Control95	Control96	Control97	Control98	Control99	Control100	Control101	Control102	Control103	Control104	Control105	Control106	Control107	Control108	Control109	Control110	Control111	Control112	Control113	Control114	Control115	Control116	Control117	Control118	Control119	Control120	Control121	Control122	Control123	Control124	Control125	Control126	Control127	Control128	Control129	Control130	Control131	Control132	Control133	Control134	Control135	Control136	Control137	Control138	Control139	Control140	Control141	Control142	Control143	Control144	Control145	Control146	Control147	Control148	Control149	Control150	Control151	Control152	Control153	Control154	Control155	Control156	Control157	Control158	Control159	Control160	Control161	Control162	Control163	Control164	Control165	Control166	Control167	Control168	Control169	Control170	Control171	Control172	Control173	Control174	Control175	Control176	Control177	Control178	Control179	Control180	Control181	Control182	Control183	Control184	Control185	Control186	Control187	Control188	Control189	Control190	Control191	Control192	Control193	Control194	Control195	Control196	Control197	Control198	Control199	Control200	Control201	Control202	Control203	Control204	Control205	Control206	Control207	Control208	Control209	Control210	Control211	Control212	Control213	Control214	Control215	Control216	Control217	Control218	Control219	Control220	Control221	Control222	Control223	Control224	Control225	Control226	Control227	Control228	Control229	Control230	Control231	Control232	Control233	Control234	Control235	Control236	Control237	Control238	Control239	Control240	Control241	Control242	Control243	Control244	Control245	Control246	Control247	Control248	Control249	Control250	Control251	Control252	Control253	Control254	Control255	Control256	Control257	Control258	Control259	Control260	Control261	Control262	Control263	Control264	Control265	Control266	Control267	Control268	Control269	Control270	Control271	Control272	Control273	Control274	Control275	Control276	Control277	Control278	Control279	Control280	Control281	Control282	Control283	Control284	Control285	Control286	Control287	Control288	Control289	Control290	Control291	Control292	Control293	Control294	Control295	Control296	Control297	Control298	Control299	Control300	Control301	Control302	Control303	Control304	Control305	Control306	Control307	Control308	Control309	Control310	Treatment1	Treatment2	Treatment3	Treatment4	Treatment5	Treatment6	Treatment7	Treatment8	Treatment9	Treatment10	Treatment11	Treatment12	Treatment13	Treatment14	Treatment15	Treatment16	Treatment17	Treatment18	Treatment19	Treatment20	Treatment21	Treatment22	Treatment23	Treatment24	Treatment25	Treatment26	Treatment27	Treatment28	Treatment29	Treatment30	Treatment31	Treatment32	Treatment33	Treatment34	Treatment35	Treatment36	Treatment37	Treatment38	Treatment39	Treatment40	Treatment41	Treatment42	Treatment43	Treatment44	Treatment45	Treatment46	Treatment47	Treatment48	Treatment49	Treatment50	Treatment51	Treatment52	Treatment53	Treatment54	Treatment55	Treatment56	Treatment57	Treatment58	Treatment59	Treatment60	Treatment61	Treatment62	Treatment63	Treatment64	Treatment65	Treatment66	Treatment67	Treatment68	Treatment69	Treatment70	Treatment71	Treatment72	Treatment73	Treatment74	Treatment75	Treatment76	Treatment77	Treatment78	Treatment79	Treatment80	Treatment81	Treatment82	Treatment83	Treatment84	Treatment85	Treatment86	Treatment87	Treatment88	Treatment89	Treatment90	Treatment91	Treatment92	Treatment93	Treatment94	Treatment95	Treatment96	Treatment97	Treatment98	Treatment99	Treatment100	Treatment101	Treatment102	Treatment103	Treatment104	Treatment105	Treatment106	Treatment107	Treatment108	Treatment109	Treatment110	Treatment111	Treatment112	Treatment113	Treatment114	Treatment115	Treatment116	Treatment117	Treatment118	Treatment119	Treatment120	Treatment121	Treatment122	Treatment123	Treatment124	Treatment125	Treatment126	Treatment127	Treatment128	Treatment129	Treatment130	Treatment131	Treatment132	Treatment133	Treatment134	Treatment135	Treatment136	Treatment137	Treatment138	Treatment139	Treatment140	Treatment141	Treatment142	Treatment143	Treatment144	Treatment145	Treatment146	Treatment147	Treatment148	Treatment149	Treatment150	Treatment151	Treatment152	Treatment153	Treatment154	Treatment155	Treatment156	Treatment157	Treatment158	Treatment159	Treatment160	Treatment161	Treatment162	Treatment163	Treatment164	Treatment165	Treatment166	Treatment167	Treatment168	Treatment169	Treatment170	Treatment171	Treatment172	Treatment173	Treatment174	Treatment175	Treatment176	Treatment177	Treatment178	Treatment179	Treatment180	Treatment181	Treatment182	Treatment183	Treatment184	Treatment185	Treatment186	Treatment187	Treatment188	Treatment189	Treatment190	Treatment191	Treatment192	Treatment193	Treatment194	Treatment195	Treatment196	Treatment197	Treatment198	Treatment199	Treatment200	Treatment201	Treatment202	Treatment203	Treatment204	Treatment205	Treatment206	Treatment207	Treatment208	Treatment209	Treatment210	Treatment211	Treatment212	Treatment213	Treatment214	Treatment215	Treatment216	Treatment217	Treatment218	Treatment219	Treatment220	Treatment221	Treatment222	Treatment223	Treatment224	Treatment225	Treatment226	Treatment227	Treatment228	Treatment229	Treatment230	Treatment231	Treatment232	Treatment233	Treatment234	Treatment235	Treatment236	Treatment237	Treatment238	Treatment239	Treatment240	Treatment241	Treatment242	Treatment243	Treatment244	Treatment245	Treatment246	Treatment247	Treatment248	Treatment249	Treatment250	Treatment251	Treatment252	Treatment253	Treatment254	Treatment255	Treatment256	Treatment257	Treatment258	Treatment259	Treatment260	Treatment261	Treatment262	Treatment263	Treatment264	Treatment265	Treatment266	Treatment267	Treatment268	Treatment269	Treatment270	Treatment271	Treatment272	Treatment273	Treatment274	Treatment275	Treatment276	Treatment277	Treatment278	Treatment279	Treatment280	Treatment281	Treatment282	Treatment283	Treatment284	Treatment285	Treatment286	Treatment287	Treatment288	Treatment289	Treatment290	Treatment291	Treatment292	Treatment293	Treatment294	Treatment295	Treatment296	Treatment297	Treatment298	Treatment299	Treatment300	Treatment301	Treatment302	Treatment303	Treatment304	Treatment305	Treatment306	Treatment307	Treatment308	Treatment309	Treatment310	Treatment311	Treatment312	Treatment313	Treatment314	Treatment315	Treatment316	Treatment317	Treatment318	Treatment319	Treatment320	Treatment321	Treatment322	Treatment323	Treatment324	Treatment325	Treatment326	Treatment327	Treatment328	Treatment329	Treatment330	Treatment331	Treatment332	Treatment333	Treatment334	Treatment335	Treatment336	Treatment337	Treatment338	Treatment339	Treatment340	Treatment341	Treatment342	Treatment343	Treatment344	Treatment345	Treatment346	Treatment347	Treatment348	Treatment349	Treatment350	Treatment351	Treatment352	Treatment353	Treatment354	Treatment355	Treatment356	Treatment357	Treatment358	Treatment359	Treatment360	Treatment361	Treatment362	Treatment363	Treatment364	Treatment365	Treatment366	Treatment367	Treatment368	Treatment369	Treatment370	Treatment371	Treatment372	Treatment373	Treatment374	Treatment375	Treatment376	Treatment377	Treatment378	Treatment379	Treatment380	Treatment381	Treatment382	Treatment383	Treatment384	Treatment385	Treatment386	Treatment387	Treatment388	Treatment389	Treatment390	Treatment391	Treatment392	Treatment393	Treatment394	Treatment395	Treatment396	Treatment397	Treatment398	Treatment399	Treatment400	Treatment401	Treatment402	Treatment403	Treatment404	Treatment405	Treatment406	Treatment407	Treatment408	Treatment409	Treatment410	Treatment411	Treatment412	Treatment413	Treatment414	Treatment415	Treatment416	Treatment417	Treatment418	Treatment419	Treatment420	Treatment421	Treatment422	Treatment423	Treatment424	Treatment425	Treatment426	Treatment427	Treatment428	Treatment429	Treatment430	Treatment431	Treatment432	Treatment433	Treatment434	Treatment435	Treatment436	Treatment437
otu1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0.005	0.015	0.01	0	0	0	0.01	0	0	0	0.005	0	0.01	0	0.005	0	0	0	0	0	0	0.005	0	0	0	0	0.01	0	0.015	0.01	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0.005	0.01	0	0	0	0.01	0	0.005	0.01	0	0.01	0.01	0.005	0.005	0	0.025	0.005	0.005	0.01	0.01	0	0.005	0.005	0.005	0.01	0.005	0.005	0	0	0	0.005	0	0	0	0.005	0	0.005	0.005	0.005	0	0	0.02	0.01	0	0.005	0	0	0	0.005	0	0	0.005	0.005	0.01	0	0.015	0.005	0.01	0.01	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0.02	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015	0	0	0	0	0	0	0.005	0	0	0	0	0.01	0	0	0	0	0.02	0.01	0.01	0	0.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0.005	0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.005	0.005	0.005	0	0	0.005	0	0	0	0	0	0	0	0	0	0.005	0.005	0.015	0.005	0	0.045	0	0	0.005	0.02	0.025	0.03	0.025	0.045	0.03	0.035	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu2	0.002137616	0.002072558	0.001835562	0.002393201	0.00118963	0.002002853	0.001868091	0.002249144	0.002337437	0.00176121	0.002393201	0.001849503	0.003192483	0.003503831	0.003001956	0.003048426	0.003689711	0.004075411	0.003866297	0.003211071	0.003285423	0.003206424	0.002788195	0.002885782	0.003731534	0.004098646	0.001324393	0.001338333	0.001412685	0.00143592	0.001078102	0.001291864	0.001073455	0.000938692	0.001301158	0.001510272	0.001194277	0.001305805	0.001566036	0.001398744	0.000799283	0.000971221	0.001105984	0.001166395	0.001092043	0.001319746	0.001370862	0.001171042	0.001031632	0.00134298	0.001514919	0.001324393	0.001198924	0.00114316	0.00114316	0.001542801	0.001338333	0.001277923	0.001366215	0.001366215	0.001254688	0.001301158	0.001203571	0.001115278	0.000947986	0.00105022	0.001208218	0.001988912	0.001166395	0.001133866	0.001468449	0.000283466	0.000566933	0.00066452	0.000808576	0.000743519	0.000464699	0.000539051	0.000213762	0	9.29398E-06	0	0.000608756	0.000469346	0	9.29398E-06	6.04109E-05	9.29398E-05	8.36458E-05	8.36458E-05	0.000473993	0.000274172	0.000501875	0.000729578	0.000362465	0.000413582	0.000906163	0.000748166	0.00047864	0.00047864	0	0.000278819	0.000539051	0.000367112	0.000701696	0.000552992	0.000529757	0.000418229	0.000441464	0.000557639	0.000427523	0.000534404	0.000436817	0.000552992	0.000594815	0.000487934	0.000724931	0.00043217	0.000255585	0.000357818	0.000492581	0.000436817	0.00052511	0.00033923	0.000450758	0.000418229	0.000427523	0.000506522	0.000501875	0.000497228	0.000511169	0.000460052	0.000655226	0.000311348	0.000645932	0.00043217	0.000399641	0.000631991	0.000483287	0.000473993	0.000636638	0.000418229	0.000506522	0.000315995	0.00043217	0.000436817	0.000394994	0.000580874	0.000552992	0.000501875	0.000436817	0.000487934	0.000487934	0.000497228	0.000427523	0.000436817	0.00057158	0.000422876	0.000552992	0.000590168	0.000353171	0.000427523	0.000887575	0.001008397	0.001217512	0.001231453	0.001031632	0.000311348	0.000678461	0.000492581	0.000381053	0.000850399	0.000887575	0.000850399	0.000557639	0.000906163	0.001310452	0.000176586	0.000171939	0.000367112	6.50579E-05	3.25289E-05	0	0.000325289	0.000246291	0.00029276	0.000353171	0.000125469	0.000134763	0.000167292	0.000176586	0.000223056	0.000130116	0.000394994	0.000394994	0.000590168	0.000673814	4.64699E-05	0.001803033	0.002063264	0.001115278	0.001022338	0.000678461	0.000724931	0.00086434	0	0	0	0	0	0	0	0	0	4.64699E-05	9.29398E-06	0.000315995	0.000218409	0.000209115	0.00018588	0.00023235	0.000278819	0.000329936	0.000404288	0.000450758	0.000418229	0.000302054	0.000260232	0.000390347	0.000315995	0.000520463	0.000325289	0.000297407	0.000283466	0.000515816	0.000487934	0.000404288	0.000399641	0.00043217	0.000357818	0.000157998	0.000297407	0.000167292	0.000236997	0.000269525	0.000246291	0.001510272	0.000831811	0.001417332	0.002871841	0.003299364	0.00271849	0.002277026	0.002913664	0.002630197	0.003043779	0.003252894	0.00301125	0.002778901	0.003127425	0.001296511	0.001240747	0.001194277	0.001473096	0.001245394	0.001891325	0	0	0	0	0.002207321	0.002574433	0.003396951	0.002658079	0.002462905	0.002797489	0	0	0	0.000836458	0.000655226	0.001426626	0.000683108	0.000729578	0.001882031	0.000650579	0.001366215	0.000947986	0.000789989	0.002128322	0.000473993	0.000827164	0.003387657	0.001175689	0.001064161	0.001082749	0.000599462	0.001770504	0.000896869	0.001514919	0.000799283	0.000813223	0.001705446	0.000952633	0.001863444	0.001147807	0.00066452	0.001036279	0.00091081	0.00100375	0.001877384	0.001737975	0.002565139	0.001947089	0.002132969	0.001315099	0.001747269	0.00210044	0.001380156	0.001626447	0.002105087	0.001770504	0.002895076	0.002393201	0.003554948	0.003884885	0.003169248	0.003108837	0.002974074	0.003146013	0.003159954	0.003819827	0.003466656	0.003601418	0.003647888	0.003689711	0.003522419	0.003787298	0.003234306	0.004019647	0.003299364	0.003215718	0.00348989	0.003155307	0.003499184	0.003475949	0.003620006	0.002727784	0.003020544	0.003048426	0.003187836	0.003169248	0.003610712	0.003578183	0.002662726	0.002667373	0.003304011	0.003159954	0.002588374	0.003225012	0.003276129	0.003308658	0.003155307	0.003494537	0.0032436	0.003262188	0.002727784	0.003025191	0.003080955	0.00348989	0.003387657	0.002834665	0.003615359	0.003034485	0.003025191	0.003234306	0.003350481	0.003601418	0.003452715	0.003610712	0.003657182	0.003833768	0.003601418	0.002885782	0.003610712	0.00415441	0.004028941	0.004372819	0.003085602	0.003043779	0.003173895	0.003136719	0.002365319	0.004056823	0.003894179	0.002927605	0.003280776	0.003257541	0.003606065	0.003029838	0.002583727	0.003527066	0.0032436	0.003099543	0.003587477	0.002862547	0.003317952	0.003225012	0.003387657	0.002425729	0.003118131	0.003387657	0.003327246	0.003819827	0.003387657	0.003480596	0.003294717	0.002328143	0.002871841	0.003178542	0.003304011	0.002514022	0.002751019	0.003494537	0.003415539	0.003062367	0.003341187	0.003248247	0.003206424	0.0028579	0.003564242	0.004033588	0.003373716	0.003517772	0.003810533	0.003420186	0.003183189	0.003062367	0.003513125	0.003443421	0.003680417	0.002830018	0.003661829	0.00315066	0.002955486	0.003712946	0.004010353	0.0032436	0.003257541	0.003048426	0.003331893	0.002839312	0.002890429	0.002950839	0.003099543	0.003178542	0.001245394	0.000492581	0.001496331	0.000399641	0.001524213	0.000915457	0.001315099	0.000534404	0.00143592	0.00138945	0.000980515	0.001250041	0.000706343	0.001645035	0.001008397	0.001408038	0.000947986	0.001064161	0.001040926	0.001245394	0.00152886	0.000980515	0.001017691	0.00091081	0.001184983	0.001240747	0.001036279	0.001129219	0.001240747	0.000994456	0.00143592	0.0012361	0.001259335	0.001301158	0.000394994	2.3235E-05	8.82928E-05	7.43519E-05	9.29398E-06	5.57639E-05	0	0	0.00081787	0.000394994	0.000678461	0.000789989	0.000994456	0.000882928	0.000566933	0.000543698	0.000302054	0.000236997	0.000585521	0.000752813	0.000608756	0.000320642	0.000520463	0.000134763	0.000980515	0	0	4.18229E-05	0.000515816	0.000311348	0.000269525	0.001026985	0.001119925	0.000915457	0.001040926	0.000920104	0.001291864	0.001245394	0.001477743	0.000799283	0.000906163	0.001031632	0.000887575	0.000320642	0.000343877	0.001064161	0.00047864	0.00029276	0.000260232	0.000394994	0.000125469	0.00091081	0.000608756	0.000780695	0.000855046	0.001059514	0.001059514	0.000794636	0.000943339	0.000673814	0.000771401	0.000278819	0.000260232	0.000260232	0.000288113	0.000264879	0.000204468	0.000246291	0.000697049	0.000297407	0.000260232	0.001031632	0.001059514	0.000808576	0.000971221	0.000994456	0.00043217	0.000441464	0.00013941	0	0	0	0	4.64699E-06	1.8588E-05	0	0	6.50579E-05	0.000241644	0	5.57639E-05	0	0	0.000278819	0.000548345	0.000501875	0.000738872	0.000464699	0.000469346	0.000353171	0.000487934	0.000627344	0.000278819	0.000130116	0.000394994	0.0003857	0.000520463	0.000562286	0.000455405	0.000413582	0.000469346	0.000529757	0.000413582	0.000511169	0.000650579	0.000450758	0.000631991	0.000450758	0.000831811	0.000274172	0.000334583	0.00029276	0.000255585	0.000306701	0.000441464	0.000362465	0.000367112	0.000483287	0.000241644	0.000269525	0.000246291	0.000236997	0.000348524	0.000381053	0.000450758	4.18229E-05	0.0003857	0.000543698	0.000631991	0.000288113	6.97049E-05	0.000520463	0.000506522	0.000320642	0.001245394	0.001556742	0.002091146	0.002151557	0.002634844	0.002500081	0.002992662	0.002644138	0.001431273	0.00100375	0.002797489	0.002685961	0.002546551	0.002867194	0.001728681	0.001519566	0.001542801	0.001751916	0.001756563	0.001612506	0	4.64699E-06	4.64699E-06	9.29398E-06	0.001054867	0.000841105	0.000394994	0.000808576	0.001403391	0.001514919	0.000418229	0.001161748	0.000803929	0.002365319	0.000794636	0.001124572	0.001087396	0.001092043	0.001008397	0.000687755	0.001231453	0.001370862	0.000497228	0.001166395	0.00075746	0.001765857	0.000929398	0.00100375	0.000873634	0.000734225	0.000878281	0.000697049	0.000915457	0.001078102	0.000552992	0.001101337	0.00086434	0.002611609	0.000636638	0.000803929	0.000934045	0.000827164	0.00086434	0.001119925	0.00071099	0.001677564	0.001631094	0.000794636	0.000622697	0.001180336	0.000878281	0.001310452	0.001263982	0.000873634	0.00066452	0.000975868	0.000436817	0.001691505	0.001119925	0.000771401	0.000724931	0.000985162	0.001375509	0.001296511	0.000776048	0.001059514	0.000357818	0.001417332	0.001375509	0.000697049	0.000673814	0.000799283	0.000920104	0.001217512	0.000376406	0.001310452	0.001222159	0.000752813	0.000906163	0.001161748	0.000655226	0.001026985	0.000427523	0.000985162	0.001161748	0.001403391	0.000543698	0.001445214	0.000855046	0.000808576	0.00091081	0.003071661	0.000566933
